,Schema,Control,Mixed
0,"[63.88533401489258, 63.826499938964844, 62.987831115722656, 61.92733383178711, 61.147830963134766, 59.69649887084961, 58.42483139038086, 56.467166900634766, 54.673667907714844, 53.80533218383789, 54.107666015625, 52.34116744995117, 52.01166534423828, 50.8849983215332, 51.2668342590332, 50.40800094604492, 49.94099807739258, 50.19233322143555, 50.81866455078125, 50.1446647644043, 48.871498107910156, 49.868831634521484, 50.729000091552734, 51.349666595458984, 50.71683120727539, 50.64583206176758, 49.75233459472656, 49.770999908447266, 50.63233184814453, 50.20549774169922, 49.66733169555664, 50.493831634521484, 49.66283416748047, 49.772499084472656, 48.90366744995117, 49.83566665649414, 46.704498291015625, 46.80099868774414, 46.40266799926758, 45.270164489746094, 44.59166717529297, 41.10966491699219, 40.39216613769531, 46.91749954223633, 41.470664978027344, 42.39733123779297, 40.8946647644043, 44.08566665649414, 41.169498443603516, 40.663333892822266]","[63.98533248901367, 64.1469955444336, 63.39983367919922, 62.71649932861328, 61.64266586303711, 60.79366683959961, 59.83483123779297, 59.14116668701172, 58.67033386230469, 58.203330993652344, 57.76499938964844, 57.0004997253418, 57.49566650390625, 57.41133117675781, 58.253665924072266, 58.73733139038086, 58.256500244140625, 58.0811653137207, 57.861000061035156, 57.861331939697266, 57.2061653137207, 57.50266647338867, 57.089332580566406, 57.1158332824707, 57.12249755859375, 57.19533157348633, 57.93033218383789, 56.74983215332031, 57.242000579833984, 57.38750076293945, 57.20316696166992, 57.52149963378906, 57.31916427612305, 57.72966766357422, 57.62849807739258, 58.19783401489258, 58.1956672668457, 58.07783126831055, 57.86033248901367, 57.70966720581055, 57.20966720581055, 57.012664794921875, 56.643333435058594, 56.7765007019043, 56.931331634521484, 57.636165618896484, 56.772666931152344, 56.457664489746094, 56.97783279418945, 56.749664306640625]","[63.80533218383789, 63.455997467041016, 62.85200119018555, 62.076332092285156, 60.522499084472656, 59.9640007019043, 59.16666793823242, 58.076499938964844, 56.520999908447266, 55.654666900634766, 54.437164306640625, 54.14033126831055, 54.10749816894531, 53.494998931884766, 53.630165100097656, 53.15983200073242, 53.21516799926758, 53.111000061035156, 53.66616439819336, 53.458831787109375, 53.51433181762695, 53.43299865722656, 52.92716598510742, 53.90399932861328, 52.66816711425781, 52.631832122802734, 52.1245002746582, 51.86666488647461, 52.03366470336914, 52.22283172607422, 51.731666564941406, 51.761165618896484, 52.56800079345703, 52.031166076660156, 51.725833892822266, 51.547664642333984, 51.6071662902832, 51.55699920654297, 50.929664611816406, 50.65916442871094, 50.93866729736328, 49.656166076660156, 49.19933319091797, 49.80816650390625, 51.018165588378906, 50.18233108520508, 50.43949890136719, 49.648834228515625, 49.75600051879883, 49.59516525268555]"
1,"[63.37233352661133, 63.2668342590332, 62.525333404541016, 61.38933181762695, 60.76133346557617, 59.12216567993164, 56.56483459472656, 55.31083297729492, 54.59233093261719, 54.388832092285156, 55.8668327331543, 55.00199890136719, 51.25233459472656, 50.797332763671875, 49.897666931152344, 49.13866424560547, 48.633331298828125, 48.83483123779297, 51.0716667175293, 51.45366668701172, 51.88249969482422, 51.34349822998047, 49.677833557128906, 50.540000915527344, 51.149497985839844, 50.26300048828125, 49.42033386230469, 50.59550094604492, 49.09700012207031, 49.75266647338867, 49.829833984375, 49.21616744995117, 49.840999603271484, 49.36833190917969, 50.099998474121094, 50.68733215332031, 50.53216552734375, 49.94366455078125, 49.16733169555664, 49.663333892822266, 48.84166717529297, 48.06850051879883, 48.07416534423828, 48.95949935913086, 49.80833435058594, 49.78816604614258, 48.79050064086914, 49.28016662597656, 47.62366485595703, 47.62099838256836]","[64.01666259765625, 64.010498046875, 63.380332946777344, 62.436832427978516, 61.397830963134766, 60.156497955322266, 59.68983459472656, 59.39699935913086, 57.997833251953125, 56.76366424560547, 56.67499923706055, 56.84016418457031, 56.57699966430664, 56.1436653137207, 55.96833419799805, 55.644500732421875, 55.813499450683594, 56.10300064086914, 56.45183181762695, 56.22549819946289, 55.89583206176758, 56.175498962402344, 56.6268310546875, 55.986331939697266, 56.54199981689453, 56.63783264160156, 56.520164489746094, 56.19183349609375, 56.62116622924805, 56.4658317565918, 56.480831146240234, 56.388999938964844, 56.166831970214844, 56.65449905395508, 55.8581657409668, 56.5186653137207, 57.08049774169922, 56.91849899291992, 56.79249954223633, 57.20166778564453, 56.52050018310547, 56.97800064086914, 57.04916763305664, 56.922664642333984, 56.53450012207031, 56.51416778564453, 56.70516586303711, 56.59183120727539, 56.909332275390625, 56.89899826049805]","[63.94449996948242, 64.09532928466797, 63.507999420166016, 62.46116638183594, 61.593833923339844, 60.90399932861328, 59.72783279418945, 58.6263313293457, 57.755165100097656, 56.94099807739258, 56.144832611083984, 56.29050064086914, 56.74533462524414, 56.76250076293945, 56.37883377075195, 56.12966537475586, 55.87066650390625, 54.993831634521484, 55.10099792480469, 54.93866729736328, 54.272499084472656, 54.1336669921875, 53.54249954223633, 53.555999755859375, 52.43866729736328, 51.71416473388672, 51.167667388916016, 51.21649932861328, 51.01350021362305, 51.87533187866211, 52.25583267211914, 52.429664611816406, 52.59233093261719, 52.28366470336914, 51.97983169555664, 51.7581672668457, 52.1875, 50.90083312988281, 50.94016647338867, 49.76316452026367, 48.335166931152344, 48.041831970214844, 48.29750061035156, 47.23400115966797, 47.54216766357422, 46.20750045776367, 45.84299850463867, 45.36466598510742, 45.34883117675781, 46.63816452026367]"
2,"[63.668331146240234, 63.58049774169922, 62.63783264160156, 62.032833099365234, 62.04816436767578, 61.40133285522461, 60.748165130615234, 60.45800018310547, 59.793331146240234, 59.97816467285156, 57.93483352661133, 58.46249771118164, 59.12083435058594, 59.24683380126953, 58.13133239746094, 57.51533126831055, 57.2158317565918, 56.65133285522461, 54.763999938964844, 53.58016586303711, 52.62799835205078, 52.09633255004883, 51.164833068847656, 50.87933349609375, 52.11949920654297, 52.94300079345703, 52.30783462524414, 50.940834045410156, 48.96766662597656, 49.23683166503906, 49.09983444213867, 49.258331298828125, 48.260833740234375, 48.137001037597656, 48.59550094604492, 49.27349853515625, 49.45349884033203, 49.94049835205078, 50.860164642333984, 49.36050033569336, 49.08683395385742, 48.377166748046875, 48.53083419799805, 46.65866470336914, 46.173500061035156, 44.66816711425781, 43.39649963378906, 45.110164642333984, 44.74250030517578, 43.56483459472656]","[64.11516571044922, 63.899497985839844, 63.38566589355469, 62.43149948120117, 61.423831939697266, 60.2668342590332, 59.50316619873047, 59.07600021362305, 58.24333190917969, 57.78933334350586, 57.09433364868164, 56.89816665649414, 56.43766784667969, 56.44300079345703, 55.82550048828125, 56.57566452026367, 57.12383270263672, 57.45899963378906, 57.4288330078125, 57.805667877197266, 57.46049880981445, 57.6783332824707, 57.29366683959961, 56.935333251953125, 56.827667236328125, 56.34666442871094, 55.52933120727539, 56.29933166503906, 56.153499603271484, 56.46833419799805, 56.1341667175293, 56.28300094604492, 57.34266662597656, 57.285499572753906, 57.628665924072266, 57.09616470336914, 57.172664642333984, 57.131500244140625, 57.190834045410156, 57.8476676940918, 57.07550048828125, 57.41533279418945, 56.804832458496094, 56.971832275390625, 57.47516632080078, 57.52183151245117, 57.5091667175293, 57.70916748046875, 57.04633331298828, 56.843997955322266]","[64.4314956665039, 64.43783569335938, 63.86499786376953, 62.89933395385742, 61.78933334350586, 60.93166732788086, 59.16899871826172, 58.5984992980957, 56.72800064086914, 55.16533279418945, 54.29100036621094, 55.57316589355469, 55.29783248901367, 56.13800048828125, 55.10166549682617, 55.7130012512207, 55.195167541503906, 54.444332122802734, 53.99433135986328, 54.160667419433594, 55.367164611816406, 54.7130012512207, 54.054664611816406, 52.5265007019043, 51.78350067138672, 50.875667572021484, 51.35883331298828, 50.907501220703125, 50.335166931152344, 52.102500915527344, 51.184165954589844, 50.83583450317383, 51.09433364868164, 50.91733169555664, 51.249664306640625, 50.74483108520508, 50.62333297729492, 49.805999755859375, 51.045997619628906, 51.2321662902832, 52.46816635131836, 52.380165100097656, 52.09283447265625, 51.79983139038086, 51.38249969482422, 50.50033187866211, 52.8928337097168, 54.119667053222656, 53.72133255004883, 54.15083312988281]"
3,"[64.18433380126953, 64.46916961669922, 63.537498474121094, 62.419334411621094, 61.203834533691406, 60.55699920654297, 59.3033332824707, 58.47883224487305, 57.34583282470703, 55.323333740234375, 53.64616775512695, 53.059165954589844, 52.11499786376953, 50.84783172607422, 49.42216491699219, 48.71699905395508, 47.92499923706055, 48.09349822998047, 47.44599914550781, 44.777164459228516, 45.12933349609375, 44.653499603271484, 44.30583190917969, 43.98933410644531, 43.58883285522461, 42.18866729736328, 43.5880012512207, 44.44166564941406, 44.25616455078125, 45.040164947509766, 44.871334075927734, 46.21983337402344, 44.37983322143555, 44.433834075927734, 45.47083282470703, 43.5081672668457, 43.62266540527344, 42.27050018310547, 42.95166778564453, 41.71683120727539, 42.233665466308594, 41.545833587646484, 40.615501403808594, 41.19733428955078, 41.694332122802734, 43.102333068847656, 43.2760009765625, 42.26716613769531, 39.85016632080078, 41.147666931152344]","[64.77349853515625, 64.86766815185547, 64.01449584960938, 63.23133087158203, 62.12300109863281, 61.72783279418945, 61.423831939697266, 60.92466735839844, 60.15533447265625, 59.547332763671875, 58.81399917602539, 58.97633361816406, 58.002498626708984, 58.002166748046875, 57.36233139038086, 57.27166748046875, 57.29216766357422, 57.69233322143555, 58.0273323059082, 57.354331970214844, 56.4370002746582, 56.55183410644531, 56.60383224487305, 56.29949951171875, 55.432498931884766, 55.63199996948242, 55.519832611083984, 56.213165283203125, 56.025333404541016, 56.144500732421875, 56.36800003051758, 56.000667572021484, 55.93199920654297, 55.3321647644043, 55.0004997253418, 54.920166015625, 55.06666564941406, 54.9908332824707, 55.54083251953125, 55.829498291015625, 55.826499938964844, 55.99333190917969, 56.10499954223633, 56.46816635131836, 56.67416763305664, 56.611167907714844, 56.32099914550781, 56.532833099365234, 56.99749755859375, 57.37699890136719]","[63.68449783325195, 63.65883255004883, 62.63916778564453, 61.50033187866211, 60.63783264160156, 59.01449966430664, 58.1158332824707, 56.84616470336914, 56.32383346557617, 56.929500579833984, 56.01366424560547, 55.04716491699219, 54.46083450317383, 53.908164978027344, 53.60016632080078, 54.16183090209961, 55.08433151245117, 56.35749816894531, 58.47700119018555, 58.175331115722656, 57.528167724609375, 56.59883117675781, 56.53483200073242, 56.20233154296875, 55.9461669921875, 56.009334564208984, 55.91299819946289, 55.2783317565918, 55.477333068847656, 54.672664642333984, 55.106666564941406, 55.182167053222656, 55.47883224487305, 54.349666595458984, 54.53950119018555, 55.772830963134766, 55.40983200073242, 54.48733139038086, 54.62033462524414, 53.80299758911133, 53.595001220703125, 53.44933319091797, 53.529998779296875, 51.81549835205078, 51.65666580200195, 51.35966491699219, 51.631832122802734, 50.88349914550781, 50.336666107177734, 50.35749816894531]"
4,"[64.13133239746094, 63.6966667175293, 63.2696647644043, 61.919166564941406, 61.658164978027344, 60.6696662902832, 59.96816635131836, 59.083499908447266, 57.95949935913086, 57.407501220703125, 57.053165435791016, 57.304664611816406, 57.35350036621094, 57.41666793823242, 57.54966735839844, 57.9474983215332, 57.3043327331543, 56.69499969482422, 55.88949966430664, 55.922664642333984, 55.75566482543945, 55.72116470336914, 55.24516677856445, 54.82033157348633, 54.99366760253906, 54.71649932861328, 55.93766784667969, 54.305999755859375, 56.10799789428711, 56.22716522216797, 56.93316650390625, 55.68050003051758, 56.069000244140625, 54.72549819946289, 54.091331481933594, 53.8489990234375, 54.028499603271484, 54.993831634521484, 54.25433349609375, 52.02199935913086, 50.232666015625, 51.15533447265625, 50.0168342590332, 51.189666748046875, 46.37366485595703, 45.32466506958008, 45.31416702270508, 48.64983367919922, 44.0533332824707, 45.492164611816406]","[64.3316650390625, 64.21916961669922, 63.59633255004883, 62.4023323059082, 61.73749923706055, 61.01366424560547, 59.67416763305664, 59.07616424560547, 58.76566696166992, 58.322998046875, 57.76766586303711, 57.842498779296875, 57.80966567993164, 57.534000396728516, 56.92216491699219, 57.37333297729492, 57.68183135986328, 58.3946647644043, 58.32849884033203, 58.328330993652344, 58.81833267211914, 58.102664947509766, 57.56050109863281, 57.775333404541016, 57.77983093261719, 56.93499755859375, 57.32583236694336, 57.30783462524414, 57.33916473388672, 56.84516525268555, 56.644500732421875, 56.65283203125, 56.809165954589844, 56.33916473388672, 56.45633316040039, 56.84433364868164, 56.4648323059082, 56.538665771484375, 57.17683410644531, 56.84233093261719, 56.83566665649414, 56.564666748046875, 56.45366668701172, 56.59183120727539, 55.44933319091797, 54.235164642333984, 53.197998046875, 53.135498046875, 52.564666748046875, 52.346832275390625]","[64.60316467285156, 64.30899810791016, 63.4908332824707, 62.64966583251953, 61.96299743652344, 60.909664154052734, 59.839500427246094, 59.00983428955078, 58.60200119018555, 58.10099792480469, 57.11899948120117, 56.400665283203125, 56.34516525268555, 55.55249786376953, 55.6974983215332, 56.00983428955078, 55.415164947509766, 55.188167572021484, 55.679664611816406, 56.42900085449219, 57.259666442871094, 55.90116500854492, 56.10033416748047, 56.39299774169922, 56.4033317565918, 56.05299758911133, 55.71816635131836, 56.32783126831055, 56.86949920654297, 57.24916458129883, 55.40666580200195, 56.29349899291992, 56.06999969482422, 56.36466598510742, 55.49300003051758, 56.88083267211914, 55.461334228515625, 55.902164459228516, 54.92583084106445, 55.162498474121094, 55.5265007019043, 54.04999923706055, 53.38816452026367, 52.455665588378906, 53.250831604003906, 52.554664611816406, 52.10166549682617, 51.03350067138672, 50.11483383178711, 49.9926643371582]"
5,"[63.97416687011719, 63.843666076660156, 62.95899963378906, 61.90016555786133, 61.391998291015625, 60.63116455078125, 59.215999603271484, 58.19316482543945, 56.73116683959961, 56.29549789428711, 55.4739990234375, 54.70183181762695, 53.441165924072266, 52.26350021362305, 52.55683135986328, 51.579833984375, 49.033164978027344, 49.73500061035156, 49.77983093261719, 49.0186653137207, 48.78883361816406, 48.54666519165039, 48.6163330078125, 50.23699951171875, 49.33716583251953, 49.077999114990234, 49.559165954589844, 48.036834716796875, 47.5989990234375, 48.387664794921875, 47.37066650390625, 48.093997955322266, 47.52166748046875, 49.45899963378906, 48.89299774169922, 50.91866683959961, 49.33766555786133, 48.37233352661133, 50.56966781616211, 49.57733154296875, 48.897499084472656, 49.63666534423828, 48.00416564941406, 49.777000427246094, 48.38933181762695, 50.16299819946289, 49.485164642333984, 51.17300033569336, 48.272830963134766, 49.796165466308594]","[63.643333435058594, 63.7234992980957, 63.1879997253418, 62.17649841308594, 61.54966735839844, 60.062164306640625, 59.293331146240234, 58.39533233642578, 57.999664306640625, 58.03499984741211, 57.76799774169922, 57.2408332824707, 57.58416748046875, 57.064998626708984, 56.77766418457031, 56.51483154296875, 56.57849884033203, 56.04966735839844, 55.34349822998047, 55.6428337097168, 54.875831604003906, 55.28499984741211, 55.54533386230469, 55.58833312988281, 55.570167541503906, 55.686500549316406, 56.100833892822266, 55.98283386230469, 56.45166778564453, 56.83683395385742, 57.03066635131836, 56.78383255004883, 56.94533157348633, 57.51483154296875, 57.1510009765625, 57.16699981689453, 57.28266525268555, 56.81116485595703, 56.62249755859375, 56.88249969482422, 57.0803337097168, 57.496334075927734, 57.0364990234375, 57.31733322143555, 57.35200119018555, 57.23283386230469, 56.904998779296875, 56.548831939697266, 56.01649856567383, 56.269832611083984]","[63.692832946777344, 63.364166259765625, 62.502166748046875, 61.55066680908203, 60.339500427246094, 59.052833557128906, 58.31533432006836, 58.354000091552734, 58.22966766357422, 57.558998107910156, 57.397499084472656, 57.737667083740234, 57.03350067138672, 57.678165435791016, 57.748165130615234, 58.612831115722656, 58.90800094604492, 58.61216735839844, 59.50633239746094, 58.22283172607422, 58.059165954589844, 58.44033432006836, 58.53049850463867, 58.45800018310547, 59.426666259765625, 59.2053337097168, 59.29116439819336, 58.147666931152344, 58.87783432006836, 59.202667236328125, 59.00316619873047, 59.3489990234375, 58.767333984375, 60.21333312988281, 58.51016616821289, 58.07383346557617, 58.558834075927734, 59.79800033569336, 59.515499114990234, 59.220001220703125, 58.59733200073242, 57.7495002746582, 57.645164489746094, 57.2135009765625, 57.57666778564453, 57.641666412353516, 56.5004997253418, 56.599998474121094, 57.27116775512695, 56.57283401489258]"
6,"[63.994998931884766, 63.7678337097168, 63.1801643371582, 62.25883102416992, 60.80249786376953, 59.51016616821289, 57.67449951171875, 56.91749954223633, 56.25433349609375, 56.24549865722656, 55.91533279418945, 55.34000015258789, 54.75483322143555, 54.05866622924805, 54.09983444213867, 53.31133270263672, 53.1893310546875, 53.36949920654297, 53.817501068115234, 53.38100051879883, 54.758331298828125, 53.464500427246094, 53.617332458496094, 53.846500396728516, 53.144832611083984, 52.91749954223633, 51.59583282470703, 52.21949768066406, 50.95466613769531, 51.95966720581055, 51.805999755859375, 50.34149932861328, 49.849998474121094, 50.85200119018555, 49.731666564941406, 50.02783203125, 50.20633316040039, 50.625831604003906, 50.808834075927734, 49.688167572021484, 48.58683395385742, 47.71733093261719, 47.915000915527344, 48.26533126831055, 45.07699966430664, 45.62266540527344, 44.72816467285156, 42.31733322143555, 40.75033187866211, 41.78183364868164]","[63.756500244140625, 63.89966583251953, 63.118499755859375, 62.21416473388672, 61.458499908447266, 60.27233123779297, 58.875667572021484, 57.92566680908203, 57.38683319091797, 57.104000091552734, 56.71966552734375, 56.154998779296875, 55.67333221435547, 56.67766571044922, 56.454166412353516, 56.404998779296875, 55.77366638183594, 55.64350128173828, 55.67150115966797, 55.926334381103516, 55.60733413696289, 55.71066665649414, 55.93166732788086, 55.78633117675781, 55.93483352661133, 55.91699981689453, 56.31416702270508, 56.13566589355469, 56.39216613769531, 56.12799835205078, 56.31516647338867, 56.39983367919922, 56.64933395385742, 56.951332092285156, 57.00299835205078, 57.009334564208984, 56.81516647338867, 57.022830963134766, 56.634498596191406, 56.57233428955078, 57.069000244140625, 56.942665100097656, 56.84749984741211, 56.4995002746582, 56.69183349609375, 56.867000579833984, 57.224666595458984, 57.43149948120117, 56.958499908447266, 56.407501220703125]","[64.03016662597656, 63.9918327331543, 63.00349807739258, 62.28849792480469, 61.63750076293945, 60.531497955322266, 59.339500427246094, 58.62783432006836, 58.05816650390625, 57.782501220703125, 57.67416763305664, 57.5091667175293, 56.803165435791016, 56.84416580200195, 56.902000427246094, 56.259666442871094, 56.669334411621094, 54.84516525268555, 55.68600082397461, 55.94599914550781, 57.5351676940918, 57.653831481933594, 56.82899856567383, 56.98933410644531, 57.05949783325195, 54.77499771118164, 53.59783172607422, 53.49850082397461, 54.08749771118164, 55.28366470336914, 55.23533248901367, 55.1254997253418, 55.517333984375, 55.176334381103516, 54.07316589355469, 52.37616729736328, 51.65666580200195, 51.269500732421875, 51.649166107177734, 51.395999908447266, 50.545833587646484, 51.92150115966797, 51.13633346557617, 50.667999267578125, 50.20683288574219, 49.83733367919922, 49.308998107910156, 48.94816589355469, 49.11499786376953, 49.29533386230469]"
